run_id,git_sha,method,env,n_agents,seed,total_steps,wall_time_s,peak_vram_mib,hardware,config,config_sha256,output_path,final_eval_mean,final_eval_std,timestamp
mappo_mpe_n12_baseline/seed_0,1fa990b,mappo,mpe_simple_spread_v3,12,0,1500000,15975.570897102356,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n12_baseline.yaml,231657440d095116,results/mappo_mpe_n12_baseline/seed_0,-722.8950463533401,108.5820554112411,2026-05-21T02:15:56
mappo_mpe_n12_baseline/seed_1,1fa990b,mappo,mpe_simple_spread_v3,12,1,1500000,17190.58155107498,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n12_baseline.yaml,231657440d095116,results/mappo_mpe_n12_baseline/seed_1,-711.779525488615,84.59705796553767,2026-05-21T02:36:11
mappo_mpe_n12_baseline/seed_2,1fa990b,mappo,mpe_simple_spread_v3,12,2,1500000,16225.53397679329,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n12_baseline.yaml,231657440d095116,results/mappo_mpe_n12_baseline/seed_2,-716.2704304903746,92.53729842208509,2026-05-21T02:20:06
mappo_mpe_n12_dense/seed_0,1fa990b,dense_attn,mpe_simple_spread_v3,12,0,1500000,16565.490312814713,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n12_dense.yaml,4974357b30b27ceb,results/mappo_mpe_n12_dense/seed_0,-711.9478645324707,77.92715416990505,2026-05-21T02:25:49
mappo_mpe_n12_dense/seed_1,1fa990b,dense_attn,mpe_simple_spread_v3,12,1,1500000,16885.50278735161,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n12_dense.yaml,4974357b30b27ceb,results/mappo_mpe_n12_dense/seed_1,-726.6775872409344,110.54074405918644,2026-05-21T02:31:09
mappo_mpe_n12_dense/seed_2,1fa990b,dense_attn,mpe_simple_spread_v3,12,2,1500000,16735.493406057358,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n12_dense.yaml,4974357b30b27ceb,results/mappo_mpe_n12_dense/seed_2,-752.7057305723429,102.3174056415334,2026-05-21T02:28:39
mappo_mpe_n12_topk/seed_0,1fa990b,topk_adaptive,mpe_simple_spread_v3,12,0,1500000,16970.60261821747,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n12_topk.yaml,ec755eba0744d4ee,results/mappo_mpe_n12_topk/seed_0,-745.168481066823,83.59569266448163,2026-05-21T02:32:37
mappo_mpe_n12_topk/seed_1,1fa990b,topk_adaptive,mpe_simple_spread_v3,12,1,1500000,16310.548082828522,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n12_topk.yaml,ec755eba0744d4ee,results/mappo_mpe_n12_topk/seed_1,-763.8143269121647,123.92783779626096,2026-05-21T02:21:37
mappo_mpe_n12_topk/seed_2,1fa990b,topk_adaptive,mpe_simple_spread_v3,12,2,1500000,16860.54280924797,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n12_topk.yaml,ec755eba0744d4ee,results/mappo_mpe_n12_topk/seed_2,-838.2114066630602,143.1110511874765,2026-05-21T02:30:47
mappo_mpe_n3_baseline/seed_0,,mappo,mpe_simple_spread_v3,3,0,800000,1165.525847,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_baseline.yaml,30b703ad888b6542,results/mappo_mpe_n3_baseline/seed_0,-57.82482720352709,16.71342623341249,
mappo_mpe_n3_baseline/seed_1,c67d748,mappo,mpe_simple_spread_v3,3,1,800000,1190.04723072052,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_baseline.yaml,30b703ad888b6542,results/mappo_mpe_n3_baseline/seed_1,-60.03568812645972,16.398199122724133,2026-05-20T12:42:42
mappo_mpe_n3_baseline/seed_2,c67d748,mappo,mpe_simple_spread_v3,3,2,800000,1215.0483829975128,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_baseline.yaml,30b703ad888b6542,results/mappo_mpe_n3_baseline/seed_2,-60.07794485799968,16.018063708714614,2026-05-20T12:43:07
mappo_mpe_n3_baseline/seed_3,c67d748,mappo,mpe_simple_spread_v3,3,3,800000,1175.037235736847,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_baseline.yaml,30b703ad888b6542,results/mappo_mpe_n3_baseline/seed_3,-56.790238520130515,16.94166992148835,2026-05-20T12:42:27
mappo_mpe_n3_baseline/seed_4,c67d748,mappo,mpe_simple_spread_v3,3,4,800000,1215.0466403961182,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_baseline.yaml,30b703ad888b6542,results/mappo_mpe_n3_baseline/seed_4,-59.91808013059199,15.672014164498368,2026-05-20T12:43:07
mappo_mpe_n3_dense/seed_0,a4bfb07,dense_attn,mpe_simple_spread_v3,3,0,800000,1300.0613391399384,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_dense.yaml,40ee6d8df78d55ac,results/mappo_mpe_n3_dense/seed_0,-60.39118156163022,16.543148583196327,2026-05-20T20:49:29
mappo_mpe_n3_dense/seed_1,a4bfb07,dense_attn,mpe_simple_spread_v3,3,1,800000,1255.0428204536438,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_dense.yaml,40ee6d8df78d55ac,results/mappo_mpe_n3_dense/seed_1,-62.62550971843302,16.685773353718034,2026-05-20T20:48:44
mappo_mpe_n3_dense/seed_2,a4bfb07,dense_attn,mpe_simple_spread_v3,3,2,800000,1295.0516593456268,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_dense.yaml,40ee6d8df78d55ac,results/mappo_mpe_n3_dense/seed_2,-61.759578393772244,16.688339727640496,2026-05-20T20:49:24
mappo_mpe_n3_dense/seed_3,a4bfb07,dense_attn,mpe_simple_spread_v3,3,3,800000,1285.0455241203308,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_dense.yaml,40ee6d8df78d55ac,results/mappo_mpe_n3_dense/seed_3,-53.445183446165174,16.58321838351765,2026-05-20T20:49:14
mappo_mpe_n3_dense/seed_4,a4bfb07,dense_attn,mpe_simple_spread_v3,3,4,800000,1555.057522535324,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_dense.yaml,40ee6d8df78d55ac,results/mappo_mpe_n3_dense/seed_4,-63.113952525891364,15.358446520620285,2026-05-20T21:14:39
mappo_mpe_n3_topk/seed_0,a4bfb07,topk_adaptive,mpe_simple_spread_v3,3,0,800000,1350.0685274600983,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_topk.yaml,e339ac45325d24eb,results/mappo_mpe_n3_topk/seed_0,-52.81198728689924,16.27918757721475,2026-05-20T20:29:04
mappo_mpe_n3_topk/seed_1,a4bfb07,topk_adaptive,mpe_simple_spread_v3,3,1,800000,1355.0691633224487,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_topk.yaml,e339ac45325d24eb,results/mappo_mpe_n3_topk/seed_1,-58.36288718460128,16.521279145088396,2026-05-20T20:29:09
mappo_mpe_n3_topk/seed_2,a4bfb07,topk_adaptive,mpe_simple_spread_v3,3,2,800000,1370.0709507465363,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n3_topk.yaml,e339ac45325d24eb,results/mappo_mpe_n3_topk/seed_2,-60.7544833952561,14.57261930121391,2026-05-20T20:29:24
