global_step,wall_time_s,ep_return_mean,ep_return_std,policy_loss,value_loss,entropy,approx_kl,eval_return_mean,eval_return_std,mean_k,attn_entropy,lagrange_lambda
4000,4.1383376121521,-232.16532468795776,40.50310001891337,-0.000513265949198427,205.88906860351562,1.6017689108848572,5.552826478378847e-05,,,4.908145999908447,,
8000,7.701349496841431,-236.67422032356262,45.56713792354939,-0.000775789578649011,210.86249847412108,1.6004424333572387,7.97899970057192e-05,,,4.879125118255615,,
12000,11.356948614120483,-229.3010778427124,38.86394372930793,-0.001212085143119168,175.36368560791016,1.5931453824043273,3.965051496450656e-05,,,4.929166793823242,,
16000,15.04446268081665,-234.39908576011658,48.27648885435753,-0.0008494247243895359,142.7700080871582,1.581999707221985,9.8901964532494e-06,,,4.868895959854126,,
20000,18.714801788330078,-220.54099655151367,29.51603100991728,-0.00041329568097765447,94.96214981079102,1.589189636707306,0.0004749634339532349,,,4.940020895004272,,
24000,22.174813747406006,-220.73385381698608,44.01021127360785,-0.0006012995312994374,77.27615203857422,1.5835340023040771,1.4564563053998115e-05,,,4.914333438873291,,
28000,25.715916633605957,-208.0314745903015,39.166182767933826,-0.0015300169017864462,75.79475021362305,1.5709749221801759,0.0008226239898213028,,,4.954291915893554,,
32000,29.371147632598877,-239.9189097881317,41.844690364330425,-0.0009682687436385784,79.97988967895508,1.5465742230415345,0.0002641987320203043,,,4.858020925521851,,
36000,33.02600336074829,-227.708434343338,46.60599312343188,-0.0009353946973666538,71.68639373779297,1.5311898350715638,6.596789899049327e-05,,,4.920791816711426,,
40000,36.624797344207764,-235.77655458450317,47.46581452560499,-0.0015926166007993459,61.99680099487305,1.5365258693695067,0.00017247705800400582,,,4.825583410263062,,
44000,42.58854794502258,-221.88960194587708,43.85804689109307,-0.0014090025492672353,56.82691879272461,1.5305332660675048,0.00018803464918164535,-414.34837755560875,193.9453797671279,4.914854335784912,,
48000,46.056928873062134,-233.45029091835022,38.71934459948601,-0.00038677023158779634,48.65980110168457,1.5220249891281128,0.00024593394987944826,-414.34837755560875,193.9453797671279,4.865604257583618,,
52000,49.597750425338745,-240.53012132644653,46.717572161030155,-0.0030625342859420977,39.74921855926514,1.4745064735412599,0.0019791776564088703,-414.34837755560875,193.9453797671279,4.763166713714599,,
56000,53.25622773170471,-242.83261585235596,42.71659171239721,-0.0014290192703871885,46.28566474914551,1.4455084323883056,0.0002587156202935148,-414.34837755560875,193.9453797671279,4.72664589881897,,
60000,56.85450196266174,-244.64140224456787,48.29639246519917,-0.0020633901061179573,35.163386535644534,1.4172962427139282,0.0001226476364536211,-414.34837755560875,193.9453797671279,4.777791738510132,,
64000,60.43721055984497,-246.57696509361267,46.83016684910209,-0.0010039308807657133,42.69609756469727,1.4177181124687195,0.0018460191106423774,-414.34837755560875,193.9453797671279,4.857854270935059,,
68000,64.08422875404358,-256.60776948928833,62.487390715928306,-0.0011278361422591755,69.38532104492188,1.450776422023773,0.000608981894038152,-414.34837755560875,193.9453797671279,4.876854276657104,,
